iter	Passed	Remaining
0	60	60881
1	61	30585
2	61	20481
3	61	15407
4	62	12369
5	62	10345
6	62	8895
7	63	7818
8	63	6973
9	63	6297
10	63	5747
11	64	5284
12	64	4894
13	64	4563
14	65	4274
15	65	4020
16	65	3795
17	65	3594
18	66	3416
19	66	3255
20	66	3109
21	67	2980
22	67	2858
23	67	2747
24	67	2645
25	68	2550
26	68	2463
27	68	2381
28	68	2305
29	69	2233
30	69	2167
31	69	2105
32	69	2048
33	70	1993
34	70	1941
35	70	1892
36	70	1845
37	71	1802
38	71	1759
39	71	1721
40	71	1683
41	72	1647
42	72	1612
43	72	1580
44	73	1549
45	73	1519
46	73	1490
47	73	1462
48	74	1436
49	74	1411
50	74	1387
51	74	1363
52	75	1340
53	75	1320
54	75	1299
55	75	1279
56	76	1260
57	76	1241
58	76	1223
59	76	1206
60	77	1188
61	77	1171
62	77	1156
63	78	1140
64	78	1125
65	78	1111
66	78	1097
67	78	1081
68	79	1067
69	79	1054
70	79	1041
71	79	1029
72	80	1016
73	80	1005
74	80	993
75	80	982
76	81	971
77	81	961
78	81	951
79	81	942
80	82	933
81	82	923
82	82	915
83	83	906
84	83	895
85	83	887
86	83	877
87	84	870
88	84	863
89	84	856
90	84	848
91	85	841
92	85	833
93	85	827
94	86	820
95	86	812
96	86	805
97	86	799
98	87	792
99	87	786
100	87	780
101	87	772
102	87	766
103	88	760
104	88	754
105	88	748
106	88	742
107	89	736
108	89	730
109	89	725
110	89	720
111	90	714
112	90	709
113	90	704
114	90	699
115	91	693
116	91	689
117	91	684
118	91	679
119	92	674
120	92	670
121	92	666
122	92	660
123	92	656
124	93	652
125	93	648
126	93	644
127	93	639
128	94	635
129	94	632
130	94	628
131	95	624
132	95	621
133	95	617
134	95	613
135	95	609
136	96	606
137	96	602
138	96	599
139	97	596
140	97	592
141	97	589
142	97	585
143	98	582
144	98	579
145	98	576
146	98	573
147	99	570
148	99	567
149	99	564
150	99	561
151	100	558
152	100	555
153	100	552
154	100	549
155	101	547
156	101	544
157	101	541
158	101	539
159	102	536
160	102	533
161	102	531
162	102	528
163	103	526
164	103	523
165	103	521
166	104	518
167	104	516
168	104	514
169	104	511
170	105	509
171	105	507
172	105	504
173	105	502
174	106	500
175	106	497
176	106	495
177	106	493
178	107	491
179	107	489
180	107	486
181	107	484
182	108	482
183	108	480
184	108	478
185	108	476
186	109	474
187	109	472
188	109	470
189	109	468
190	110	466
191	110	464
192	110	462
